,Explanation,sentiment,analyze
1001,  a is a little cartoonish compared to the other ladies,0.944495,positive
1208,i like b the most because it gives off a cartoon-ish vibe,0.9710371,positive
1841,  all of the other items either seem too cartoonish or unrealistic (i realize how that sounds),0.3874917,negative
1844, the drawing seems a bit cartoonish though,0.64272916,positive
2044, the lower ranked options seemed to outlandish and cartoonish,0.7342228,positive
2051,  the rest are almost cartoonish,0.14891799,negative
2052,"the top few look the most scary, creepy, unique and attention grabbing, the lower ranked choices are more generic or cartoonish",0.97101384,positive
2063,  h looked like it belonged to a different game and a was too cartoonish,0.26561892,negative
2580,i like the more cartoonish animals because it does not make me scared that a real animal could be hurt by my actions,0.1604572,negative
2637, the last couple lack this and come off more cartoon like which puts them a step behind,0.025798433,negative
2933, i like how it has a nice balance between realism and cartoonish style,0.97360796,positive
2934, i also chose b and h next since i__ a fan of the tiny and cute style of cartoon,0.99206835,positive
2970," and f is at the very bottom of the list because i do not think that this character should be in a cartoon at all, it does not feel fitting, looks too ""exposed"" clothing wise",0.19675829,negative
2972,i like option h the best because i like the art style that shows the characters to look more cartoon-like due to how ther body features are changed in a way that makes them look cute,0.930535,positive
2985,i like c because it is a proportional person but it is also clearly cartoonish,0.8284433,positive
3010,g is my favorite style as it is fairly realistic but with simple cartoon shading,0.9988943,positive
3014," c, b, h, and e i hate because i feel it looks overly like a cheap, low-budget, poorly-made 3d cartoon for kids",0.0028243205,negative
3028," yes a is cartoony, but i love the look of the character",0.9273648,positive
3029, the rest are too cartoony looking for me,0.04043315,negative
3041,i like the cartoony but realistic style better than super realistic or super cartoony,0.97285414,positive
3051,"the styles that i preferred, i preferred because they are more cartoony and seem more fun",0.995262,positive
3063,option a's details take me to simple graphics and it brings me sense of comfort because it looks like an old school cartoon,0.95343727,positive
3070,i think that character f has the right amount of realism while still looking like a cartoon character,0.9090985,positive
3082,f - hyper realistic - makes me feel like im in another real life world g -  also very hyper realistic so i like it for the reason as f e - still looking realistic but a tinge of cartoon,0.9274873,positive
3083, it helps me to feel immersed but not so much that i think its real d - realistic but very cartoony in body shape,0.97254705,positive
3085, b - starting to feel unrealistic and im losing interest because of that - i do enjoy her voluptuous hair though c - i like the pirate theme h - very cutesy cartoony,0.8737977,positive
3116,i like the look of more traditional cartoon styles that don't over exaggerate features on the characters,0.91245973,positive
3118,"i like cartoon realism so the character type of c with the short look but cool design is appealing to me, i least like the look of a frozen like character of choice e",0.8398156,positive
3128,i prefer the cartoony-yet-realistic look of e,0.8919285,positive
3135,"i chose option b, i don't like mobile apps that are too cartoony and i think the wizard looks quite dynamic",0.8328982,positive
3152,i like option d the best because i like how the characters feature have been exaggerated to make him look more cartoonish,0.6645578,positive
3158, i chose option d third because the uniform of this soldier looks more like a cartoon but still has enough detail to be interesting,0.1355088,negative
3209, d uses a military focus with cartoony characters,0.7289993,positive
3210, a does too but even more cartoony,0.15682551,negative
3211, c has a real cartoony orc,0.80184066,positive
3245, the others are a little more cartoonish,0.88611054,positive
3251,i don't want the silly cartoony looking ones,0.049320526,negative
3257,"  otherwise, i thought d was the best of the more cartoon like styles",0.7432648,positive
3274, and cartoony violence,0.6005088,positive
3284,i think the cartoonish art style is a better fit for mobile games and one i am accustomed to,0.8943193,positive
3340,  i think option b and a look too cartoony for my liking,0.847819,positive
3375, a isn't bad either because it's pretty unique and i appreciate the more cartoonish aspect with his short stature and the bird on his staff,0.9887211,positive
3380, the other options looks a little too cartoonish,0.42239425,negative
3389, i do not like option a because it looks too cartoonish and not believable,0.2028223,negative
3398, b and a go for more of a cartoony look,0.44886377,negative
3407," the dwarf shaped character and the cartoon bird on his staff make the art feel like a disney movie rather than a fantasy game, and i'm not into that",0.67339694,positive
3415," a is sort of on the other end of the spectrum, more cartoonish and with a fun gnomish looking character",0.84681284,positive
3430, i prefer it by a large margin to the more expected cartoon nature of options b and a,0.9648208,positive
3449, i feel b is better than c as it's a bit more cartoonish and less realistic,0.8889224,positive
3487," it's cartoony, i think, and i prefer animation over the more realistic graphics most games have",0.97622335,positive
3492," after that, d has another unique, sort of cartoony look, and i think it's quite distinct and solid too",0.9802612,positive
3506,i like option d the best because i like that the character has a cartoonish look about him,0.9228175,positive
3533," option d looks strange to me, but option e is much worse as it turns the character into too much of a cartoon",0.050981916,negative
3583,"i like option b the best because it is cartoony but also real looking at the same time and is a good ""in-between"" of those two that fits right, in my opinion",0.99835306,positive
3590,it reminds me of the cartoons of when i was very young,0.80933535,positive
3592, robin hood fox cartoon,0.84771395,positive
3594,"option e looks cartoonish, but it really stands out as visually impressive and much more interesting to look at than the other choices",0.9198681,positive
3621, i didn't like that e and d felt overly cartoonish,0.11329334,negative
3703,"i prefer the more cartoonish style of option a, it looks more happy and bright",0.7491547,positive
3752, b looks a bit too cartooney,0.64605427,positive
3959," c ranks over d because d just looks too polished and cartoony, and i prefer the more gritty, grimy version in c",0.89179015,positive
4054, option b and d are too cartoon-y for me but i ranked them the same way i did options a and c in terms of where the people would be,0.3153979,negative
4178, i like the realistic look over the cartoon version of the scenes,0.960546,positive
4224, d and b look to playful and cartoonish for me,0.2675088,negative
4231,if it based in the real world then i would like to see if look like it is in the real world and not like a cartoon,0.89579785,positive
4264, the others look too cartoony or game-like,0.63741803,positive
4338, d looks a little cartoony but i appreciate the absence of smoke/fog,0.95087415,positive
4542, d and c both look too cartoony,0.5881505,positive
4638, d looks cartoony in a bad way,0.052433997,negative
4671," when i envisioned this scenario in my mind, it was very realistic, and less cartoony",0.9941758,positive
4717, option d looks a little too cartoonish and b only shows a building you can not tell how serious the situation is from it,0.718098,positive
4771,i prefer the more realistic looking graphics rather than the cartoony looking ones,0.40255982,negative
4776, i don't like the others that much because i find them to be too cartoony and colorful,0.8764605,positive
4782,"  it feels like it's still dark and moody, but in a cartoonish form",0.9293689,positive
4789,  the generic cartoony graphics just don't do anything for me,0.016133083,negative
4790,"  they're not aesthetically pleasing and they also don't really augment the zombie theme at all, either with moody, grittiness like option a, or with the potential for cartoonish twistedness in option c",0.5265539,positive
4898,"  option b looks like a decent shelter to defend, but i wouldn't choose this style unless you are going for a more cartoony look",0.07395507,negative
4909, the last choice was because it did not match the description and the graphics are too cartoonish,0.049961988,negative
4915,  i chose d as last because it looks to clean and cartoony to be the scene of an apocalypse,0.94663614,positive
5107, last choice looks cartoony,0.41888228,negative
5113, c doesn__ appeal to me in this scenario because it is too cartoonish and cute,0.24798857,negative
