,word,markdown,first,second
2123,aa,0,0,0
177,ab,4,body,character
3879,abandon,11,experience,style
3301,abandoned,11,experience,style
3256,abdomen,4,body,character
621,abilities,0,0,0
368,ability,0,0,0
628,able,0,0,0
3964,abnormal,8,artstyle,style
3036,absence,0,0,0
2284,absolute,0,0,0
1247,absolutely,0,0,0
3057,abstract,0,0,0
3228,abstraction,0,0,0
5904,absurd,8,artstyle,style
6604,absurdly,8,artstyle,style
4514,abundant,8,artstyle,style
4358,abysmal,8,artstyle,style
2553,ac,0,0,0
5060,acbd,0,0,0
1500,accent,0,0,0
2407,accents,0,0,0
3244,accentuates,0,0,0
1058,acceptable,0,0,0
1996,accepted,0,0,0
3891,accesses,0,0,0
2692,accessible,0,0,0
4396,accessories,5,outfit,character
5191,accessorized,5,outfit,character
5051,accessory,5,outfit,character
735,accomplished,11,experience,style
2526,accordance,0,0,0
1736,according,0,0,0
4744,accordingly,0,0,0
6055,accounts,0,0,0
4116,accuracy,12,fitdesc,style
365,accurate,12,fitdesc,style
98,accuratec,12,fitdesc,style
747,accurately,12,fitdesc,style
3023,accustomed,0,0,0
5747,achievable,0,0,0
4975,achieve,11,experience,style
4309,achievements,11,experience,style
4880,achieving,11,experience,style
4630,aci,0,0,0
6180,acquired,0,0,0
2513,across,0,0,0
3741,acruately,12,fitdesc,style
3606,act,0,0,0
1663,action,0,0,0
6554,actionable,0,0,0
5827,actionfilled,0,0,0
1879,actions,0,0,0
5983,activated,0,0,0
144,active,3,pose,character
3888,actively,3,pose,character
5523,activities,11,experience,style
3300,activity,11,experience,style
1444,actual,0,0,0
497,actually,0,0,0
2082,ad,0,0,0
6060,ada,0,0,0
4513,adapt,0,0,0
3116,adapted,0,0,0
1382,add,0,0,0
1516,added,0,0,0
1160,adding,0,0,0
1220,addition,0,0,0
1134,additional,0,0,0
2706,additionally,0,0,0
661,adds,0,0,0
5693,adequate,0,0,0
2180,adfh,0,0,0
5533,adjust,0,0,0
3538,adjusting,0,0,0
4512,admittedly,0,0,0
5328,adolescence,10,jobdesc,style
4687,adolescences,10,jobdesc,style
4211,adopt,0,0,0
5340,adoptive,11,experience,style
2716,adorable,9,personalities,style
2649,adorableness,9,personalities,style
5235,adore,9,personalities,style
5578,adorned,8,artstyle,style
1554,ads,0,0,0
2849,adult,10,jobdesc,style
2966,adults,10,jobdesc,style
4790,advanced,8,artstyle,style
5735,advancements,8,artstyle,style
5737,advances,8,artstyle,style
2494,advancing,8,artstyle,style
2833,advantage,9,personalities,style
2793,advantages,9,personalities,style
4950,adventerous,9,personalities,style
1082,adventure,11,experience,style
4850,adventurer,10,jobdesc,style
2297,adventures,11,experience,style
2967,adventuresome,11,experience,style
971,adventurous,11,experience,style
4299,advertising,0,0,0
4923,advice,0,0,0
6120,advisor,10,jobdesc,style
1618,ae,0,0,0
