,word,markdown,first,second,0,artstyle,body,color,experience,face,fitdesc,hairstyle,jobdesc,outfit,personalities,pose,weapon
0,character,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,sinister,9.0,personalities,style,0,0,0,0,0,0,0,0,0,0,1,0,0
2,deadly,9.0,personalities,style,0,0,0,0,0,0,0,0,0,0,1,0,0
3,due,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,weaponry,6.0,weapon,character,0,0,0,0,0,0,0,0,0,0,0,0,1
5,stance,3.0,pose,character,0,0,0,0,0,0,0,0,0,0,0,1,0
6,facial,1.0,face,character,0,0,0,0,0,1,0,0,0,0,0,0,0
7,features,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,character,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
9,design,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,fits,12.0,fitdesc,style,0,0,0,0,0,0,1,0,0,0,0,0,0
11,description,12.0,fitdesc,style,0,0,0,0,0,0,1,0,0,0,0,0,0
12,character,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
13,bolder,9.0,personalities,style,0,0,0,0,0,0,0,0,0,0,1,0,0
14,futuristic,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
15,style,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,character,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
17,matching,12.0,fitdesc,style,0,0,0,0,0,0,1,0,0,0,0,0,0
18,description,12.0,fitdesc,style,0,0,0,0,0,0,1,0,0,0,0,0,0
19,olive,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,drab,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
21,uniform,5.0,outfit,character,0,0,0,0,0,0,0,0,0,1,0,0,0
22,outfit,5.0,outfit,character,0,0,0,0,0,0,0,0,0,1,0,0,0
23,fitting,12.0,fitdesc,style,0,0,0,0,0,0,1,0,0,0,0,0,0
24,personality,9.0,personalities,style,0,0,0,0,0,0,0,0,0,0,1,0,0
25,using,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,sniper,6.0,weapon,character,0,0,0,0,0,0,0,0,0,0,0,0,1
27,rifle,6.0,weapon,character,0,0,0,0,0,0,0,0,0,0,0,0,1
28,picture,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,fit,12.0,fitdesc,style,0,0,0,0,0,0,1,0,0,0,0,0,0
30,description,12.0,fitdesc,style,0,0,0,0,0,0,1,0,0,0,0,0,0
31,inside,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,attractive,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
33,sociality,9.0,personalities,style,0,0,0,0,0,0,0,0,0,0,1,0,0
34,anixious,9.0,personalities,style,0,0,0,0,0,0,0,0,0,0,1,0,0
35,sensitive,9.0,personalities,style,0,0,0,0,0,0,0,0,0,0,1,0,0
36,person,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,looking,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
38,beautiful,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
39,dressing,5.0,outfit,character,0,0,0,0,0,0,0,0,0,1,0,0,0
40,position,3.0,pose,character,0,0,0,0,0,0,0,0,0,0,0,1,0
41,cute,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
42,person,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,picture,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,fit,12.0,fitdesc,style,0,0,0,0,0,0,1,0,0,0,0,0,0
45,description,12.0,fitdesc,style,0,0,0,0,0,0,1,0,0,0,0,0,0
46,inside,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,attractive,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
48,sociality,9.0,personalities,style,0,0,0,0,0,0,0,0,0,0,1,0,0
49,anixious,9.0,personalities,style,0,0,0,0,0,0,0,0,0,0,1,0,0
50,sensitive,9.0,personalities,style,0,0,0,0,0,0,0,0,0,0,1,0,0
51,person,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,looking,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
53,beautiful,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
54,dressing,5.0,outfit,character,0,0,0,0,0,0,0,0,0,1,0,0,0
55,position,3.0,pose,character,0,0,0,0,0,0,0,0,0,0,0,1,0
56,cute,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
57,person,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,critical,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,movement,3.0,pose,character,0,0,0,0,0,0,0,0,0,0,0,1,0
60,person,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,picked,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,order,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,fit,12.0,fitdesc,style,0,0,0,0,0,0,1,0,0,0,0,0,0
64,university,10.0,jobdesc,style,0,0,0,0,0,0,0,0,1,0,0,0,0
65,professor,10.0,jobdesc,style,0,0,0,0,0,0,0,0,1,0,0,0,0
66,although,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,easily,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,flip,9.0,personalities,style,0,0,0,0,0,0,0,0,0,0,1,0,0
69,bow,6.0,weapon,character,0,0,0,0,0,0,0,0,0,0,0,0,1
70,cool,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
71,fine,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
72,stand,3.0,pose,character,0,0,0,0,0,0,0,0,0,0,0,1,0
73,catch,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,attention,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,kind,9.0,personalities,style,0,0,0,0,0,0,0,0,0,0,1,0,0
76,toss,3.0,pose,character,0,0,0,0,0,0,0,0,0,0,0,1,0
77,number,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78,number,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,number,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,number,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,show,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,idea,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,post,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,apocalypse,12.0,fitdesc,style,0,0,0,0,0,0,1,0,0,0,0,0,0
85,better,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
86,number,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87,bad,8.0,artstyle,style,0,1,0,0,0,0,0,0,0,0,0,0,0
88,rebel,10.0,jobdesc,style,0,0,0,0,0,0,0,0,1,0,0,0,0
89,youre,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,going,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
91,token,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,smart,9.0,personalities,style,0,0,0,0,0,0,0,0,0,0,1,0,0
93,scientist,10.0,jobdesc,style,0,0,0,0,0,0,0,0,1,0,0,0,0
94,likely,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,expert,10.0,jobdesc,style,0,0,0,0,0,0,0,0,1,0,0,0,0
96,bows,6.0,weapon,character,0,0,0,0,0,0,0,0,0,0,0,0,1
97,crossbows,6.0,weapon,character,0,0,0,0,0,0,0,0,0,0,0,0,1
98,thus,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
