,Gender Identity,Income Range,Racial Or Ethnic Identity,Education Level,Age Range,Favorite Mobile Gaming Genres,Mobile Gaming Frequency,Explanation
0,Male,$101k+,White,Bachelor's Degree,35-44,Racing; Arcade; Board; Adventure; Action,Daily,"This character has the most sinister and deadly look due to the weaponry, stance, and overall facial features"
1,Male,$31-60k,Asian,Bachelor's Degree,35-44,Action; Arcade; Role Playing; Sports,Daily,D is the character design that I think fits the description best. This character has a bolder and more futuristic style.
2,Male,$31-60k,White,Bachelor's Degree,25-34,Sports; Strategy; Arcade; Adventure; Action,Daily,the character in option B has the most matching description and i like the olive drab uniform
3,Male,$0-30k,Hispanic,Vocational Training,25-34,Strategy; Role Playing; Action,Never,"This outfit seems the most fitting to his personality, as well as using a sniper rifle."
4,Male,$61-100k,Asian,Bachelor's Degree,21-24,Educational,Daily,The picture is best fit with the the description inside most attractive sociality anixious  sensitive and the person is looking is like this beautiful and the dressing in this position is cute in this person
5,Male,$101k+,Asian,Bachelor's Degree,25-34,Educational,Daily,The picture is best fit with the the description inside most attractive sociality anixious  sensitive and the person is looking is like this beautiful and the dressing in this position is cute in this person and critical movement is like this person
6,Male,$101k+,White,Bachelor's Degree,35-44,Puzzle; Card; Board,Daily,Picked in order of what fit a university professor best.. although I could easily flip A and C on my choices.
7,Male,$61-100k,Other,Bachelor's Degree,25-34,Adventure,Weekly,I most prefer option D as the bow looks really cool. The other options are fine as well but did not really stand out or catch my attention as option D did.
8,Male,$61-100k,White,Graduate Degree,35-44,Trivia; Puzzle; Educational; Board; Action,Weekly,It was kind of a toss up between number 3 and number 4 but number one and number 2 I think really show The idea of a post Apocalypse better. Number one he really looks like a bad a** and a rebel which I think is what you're going for. The same token he also looks smart
9,Male,$61-100k,White,Graduate Degree,35-44,Adventure; Board; Card; Casino,Weekly,"Scientist would not likely be an expert with bows or crossbows.  Thus, I would expect him to use a rifle."
10,Male,$61-100k,White,Graduate Degree,35-44,Adventure; Strategy; Role Playing,Daily,"I don't think any of these go with the description of a socially awkward genius, but I suppose B looks the most shy."
11,Male,$0-30k,White,Less than High School Diploma,35-44,Card; Role Playing; Adventure; Strategy; Arcade,Monthly,"I like the look of A even though he is giving me Van Helsing vibes, I feel that it fits the theme better compared to the others."
12,Male,$0-30k,White,High School,25-34,Action; Adventure; Puzzle; Word; Music,Weekly,"A, the way the character looks makes me feel they are socially anxious based on the two weapons that are held, and the stance.B, The character's posture makes me feel they are a little shy and anxious which makes the description seem accurate.C, the character has a fairly confident stance and it makes me think they don't match the description very well.D, I like the weapon, and think it would fit well with the character's description, however the character's posture looks more confident than the description."
13,Male,$61-100k,Black,Bachelor's Degree,25-34,Adventure; Action; Role Playing; Strategy; Simulation,Daily,I like option C the best because the character is dressed in a way that resembles his biological background.
14,Male,$61-100k,White,Associate Degree,35-44,Puzzle; Trivia,Rarely,I like option D because the white coat gives him an educated look better.
15,Male,$31-60k,White,Bachelor's Degree,25-34,Music; Sports; Action; Arcade; Casino,Weekly,"Option B stood out the most to me, primarily because I like the look and the description fits that the best overall, in my opinion. That being said, I think any of these choices are certainly viable."
16,Male,$101k+,White,Bachelor's Degree,35-44,Puzzle; Sports; Strategy,Daily,The scarf that covers some of his face definitely fits really well with the shy and socially awkward description.  The monocle also gives the impression that he is some sort of eccentric genius.
17,Male,$31-60k,White,Bachelor's Degree,35-44,Sports; Role Playing; Arcade; Adventure; Action,Daily,"Option D is what I would envision for a character with this type of personality. They look like somebody that is young, and anxious. The character looks simple from a design standpoint, but their face could show a wide range of emotion."
18,Male,$61-100k,Black,Bachelor's Degree,35-44,Adventure; Racing; Strategy; Action; Simulation,Daily,"I think Option D looks like the best design out of the four choices. The overall design of Option D just looks better than the others. I can't say any specific design really fits the description of the character though. All of the designs look very confident, etc."
19,Male,$61-100k,White,Graduate Degree,35-44,Action; Adventure; Strategy; Trivia; Word,Rarely,"The white outfit in D stood out to me and made the character interesting. I also liked the active pose, which seemed more dynamic. I think he fits the description well."
20,Male,$61-100k,White,Bachelor's Degree,35-44,Adventure; Arcade; Puzzle; Role Playing; Strategy,Weekly,Honestly I don't feel that any of the presented images match the description all that well. None of them look like a university professor or a biology genius to me. They just look like generic gang members with out of context weapons.
21,Male,$101k+,White,Bachelor's Degree,25-34,Simulation; Sports; Action; Role Playing,Daily,I__ not sure any of these really seem to fit well. The characters do not really look anxious to me so I__ not sure it__ relevant. I think that B is the closest match.
22,Male,$0-30k,White,Associate Degree,35-44,Action; Puzzle; Strategy,Daily,I pick B in this because of the key phrase social anxiety. I feel this look fits this description the best. You could make a case for C also but I don__ see it in both A or D at all. Both are too flashy for me and I don__ think it fits the description.
23,Male,$31-60k,White,Bachelor's Degree,35-44,Action; Adventure; Casino; Music; Sports,Daily,"Options D and C, in that order, are my preferred choices because these characters have the look of guys who can take care of business even though they are a genius with good intentions and strength of character."
24,Male,$0-30k,White,Bachelor's Degree,35-44,Strategy; Puzzle,Rarely,"Outfits for A/B look most like what i associate with ""on the run"". C looks like he's a soldier and white-jacket D doesn't look inconspicuous enough."
25,Male,$0-30k,White,Bachelor's Degree,25-34,Trivia; Strategy,Never,"I think that option D is the best design.  It is creative, unique, and make captures my attention.  I think the design is cool and appealing"
26,Male,$0-30k,Black,Associate Degree,35-44,Arcade; Simulation; Board; Role Playing; Strategy,Daily,"I like the double crossbows in A. I like the crossbow in B. I like the looks and colors of D. While I like the bow in C, I hate the color of the coat."
27,Male,$101k+,White,Bachelor's Degree,25-34,Simulation; Sports; Strategy; Adventure; Action,Monthly,I liked A because I thought the description of being a professor matched the look of the character
28,Male,$101k+,White,Graduate Degree,35-44,Adventure; Action; Strategy; Role Playing; Simulation,Daily,"This is a reserved person, so I want a reserved outfit. D is too outlandish and A seems like he is too put together for being a bio genius. C and B are both good, but I like how C is hiding his face a bit, which indicates that maybe he is a bit socially anxious."
29,Male,$31-60k,White,High School,25-34,Strategy; Word; Puzzle; Action,Daily,"I think B looks the coolest. He's got this really interesting wrist bow that I've never seen before. He overall looks great. He doesn't really fit the description at all, and to be honest, none of them do. None of these pictures looks like a University Professor. That being said, I do think B and D look the best. C and A aren't bad either, it's just that I think he looks more of a 'bad guy' in those two choices. The description made him out to be a good guy."
30,Male,$61-100k,Asian,Bachelor's Degree,21-24,Card; Strategy; Simulation; Adventure; Action,Daily,"The character descritptions and personality traits match the art style of a thinner, more passive lookign character especially with weapon choice such as the bow and crossbow. Option C is too far from a good choice since he has a gun, the bows fit the character description more but Option D's style looks the best."
31,Male,$31-60k,White,Graduate Degree,25-34,Adventure; Simulation; Strategy; Sports; Trivia,Monthly,I like the look and the weapon on this guy the best. The gun looks powerful. He looks young and like he could do a lot of damage he looks like he could be a professor and fits the description as well. I don__ really like that he is an anxious person
32,Male,$31-60k,White,Bachelor's Degree,35-44,Casino; Puzzle; Trivia,Daily,I feel the outfit and the look of the character in D fits the description the best. I like the white outfit as it science background. I think both the gun and the bow are nice but I like the bow used in D the best overall. I don't like the two bows as weapons in A and I don't like the pose or the outfit. I feel A's outfit seems too much like it belongs in the west and part of a cowboy story. B doesn't stand out too much but look like it fits the character better than A does.
33,Male,$61-100k,White,Graduate Degree,35-44,Action; Arcade; Role Playing; Strategy; Puzzle,Weekly,"The last place choice was easy, the character's face seemed to confident and just cool to be someone who is socially anxious and shy, it did not fit the description at all.  In the third place choice the two weapon stance of the character is goofy looking and I am not a fan of the clothing, though the facial expression is good.  The first and second place choice are both pretty good.  They get it right with the weapon and the face/expression.  First place wins because the clothing looks a bit more nerdy to me."
34,Male,$61-100k,Hispanic,Bachelor's Degree,25-34,Strategy; Sports; Action; Role Playing; Racing,Daily,"C. I think that from his face you can tell he is young and can pass as shy. I think his clothes speak to someone that is going to be using bilogical weapons as they are highly protective of his body and skin. His weapon of choice is also something that is modern and could be biological. So to me, this one fits the most.D. Fits the part with the way he looks and is dressed but not so much the weaponry. A. Can somewhat fit the look although the clothes are a bit off and  the weapons are OK. B. Looks like a female and the name sounds like a make so she is out."
35,Male,$31-60k,Asian,Graduate Degree,25-34,Trivia; Strategy; Simulation; Role Playing; Action,Daily,I prefer C over other options because the character in C has distinct outlook with appealing features
36,Male,$31-60k,White,Bachelor's Degree,25-34,Arcade; Card; Educational; Puzzle; Music,Daily,I like the brown/gray pallet for the coloring on choice A the most it looks like someone traditionally who would use crossbows
37,Male,$61-100k,White,Bachelor's Degree,35-44,Strategy; Puzzle; Adventure,Daily,I like option D because the description matches the outfit nicely. He looks more realistic and I really like the use of the bow and arrow.
38,Male,$101k+,White,Bachelor's Degree,35-44,Strategy; Trivia,Daily,Option D shows a lot of confidence so that is my last choice and does not fit the overall vibe of the description. Option B is the best choice because the character looks timid but smart and seems to best fit the description.
39,Male,$101k+,White,Bachelor's Degree,35-44,Action; Sports; Adventure; Strategy; Role Playing,Daily,"C looks the most fierce and like someone part of a rebel organization, as well as like a German. A has less practical weapons than C but looks visually interesting and like someone in a rag-tag group. B looks very strange and not fun to play, as well as not menacing. D looks too snobby, clean, and refined to be a rebel fighter. Moreover, D looks like the character is at an archery match or practice which does not fit the description at all."
40,Male,$31-60k,White,Bachelor's Degree,25-34,Action; Puzzle; Trivia; Strategy,Weekly,I like the designs that are more understated as opposed to the ones that are bolder and stand out more
41,Male,$101k+,White,Graduate Degree,35-44,Arcade; Action; Adventure,Daily,I like option A because its hard to beat a dual wield of bows and arrows. It looks pretty menacing.
42,Male,$31-60k,White,High School,35-44,Adventure; Simulation; Strategy; Trivia; Role Playing,Daily,"I like the man with the two weapons in A, I think that it provides versatility"
43,Male,$31-60k,White,Associate Degree,25-34,Adventure; Arcade,Rarely,"I think option D looks the like it fits the description the most, slightly futuristic while still giving a good ascetic, Option A would be the closest next to that one, Option C I think looks cool in its own right but too futuristic and over the top.  Option B I think makes him look creepy"
