,Explanation,sentiment,analyze
129, he looks more realistic and i really like the use of the bow and arrow,0.8456514,positive
302,"i prefer the ones that seem more realistic and less ""over the top"" in design",0.8361661,positive
488," i thin she also looks very realistic, which makes that character more believable and engaging",0.9729998,positive
521,"this character seems more realistic, approachable, and fitting based on the description of what this is supposed to be",0.2192441,negative
546,"a is wearing super bright colors which just doesn't seem to be realistic, i think c looks the most confident in himself",0.44744873,negative
650,"h i feel is the best design because i feel that a more realistic approach to the design is much more fitting, and also it looks a lot better without it being overdone",0.9651906,positive
664,"d, the character has physically attractive attributes, and also looks fairly realistic and as if they have been in the world",0.062522575,negative
665,"a, the character looks fairly realistic, however i dislike the shoes, they make the character look as if they have really large feet",0.39288637,negative
667,"h, i find this character looks very realistic, however also very boring and simple",0.6156785,positive
669,"g, this character has unrealistic attributes that while are attractive, is not as realistic and makes me much less interested",0.034275617,negative
670,"f, i find the clothing that this character wearing very attractive, however also not at all realistic for a post-apocalyptic world, where there would probably be fighting",0.17355162,negative
671,"c, this character looks very interesting, however also extremely unrealistic, and it makes me much less interested",0.045510884,negative
696,c is not attractive at all and just is not remotely realistic,0.010279604,negative
699," h is practical, realistic and kind of boring",0.24731578,negative
700, g is really attractive but not at all realistic,0.14352453,negative
701, a is really realistic and kind of exciting but not quite as attractive as some of the others,0.9905457,positive
757,the most important thing is to the game characters should be created with the sequences of realistic character sets,0.98005146,positive
758, the realistic theme will helps the user to make a more gameplay and usage with the certain apps,0.9899175,positive
764,i see this image as being the most realistic look in a dystopian future setting,0.997605,positive
799,  she is very realistic of a pretty cop-woman,0.95566267,positive
808,i prefer character h because she has the most realistic character that came out of the real world into the post apocalyptic world and became a game character,0.9752363,positive
840,"i like h the most, i am most interested in realistic games and having the female officer is a good look and i think helps the game the most",0.9970423,positive
858,  i feel that h is more realistic and therefore more attractive for this sort of game,0.87997043,positive
862,i like the realistic models the most,0.8988058,positive
892,i preferred the most realistic designs in this game's theme and setting over the more fantastical ones displayed above,0.9919445,positive
921," h feels realistic, but not as much fun in a game",0.9728139,positive
933,my top pick works best by far because it's the most realistic depiction of a post apocalyptic survivor,0.99644285,positive
958,  d and e also have outfits that are sexy and realistic in terms of limited resources,0.8526109,positive
960,"the more natural looking is the best, because that's what we want to see in video games, more natural and realistic people wearing normal stuff",0.980102,positive
996,"nothing quite like a girl in a uniform, h is realistic and attractive",0.6220045,positive
1002,"  wth is c supposed to be?   if it was a realistic soldier, i'd probably rank it higher, but it looks ridiculous",0.13979767,negative
1008,"options b and h are more realistic and not overly sexualized (with fairly unreasonable proportions like e, a, g, f and d)",0.5078996,positive
1042,i prefer option a because the lack of the weird outline on the trees makes this look much more realistic,0.8546471,positive
1044,a has a more realistic look to it,0.78460836,positive
1050, it just feels more realistic which brings me into the game more because it feels like somewhere i could really visit and experience,0.54029536,positive
1069,i liked choice a since the lighting of the game looks more realistic and grabs my interest right away,0.99179906,positive
1076,"option a just seems a little more realistic to me and thus, is a little bit better quality than the alternative",0.9734316,positive
1092,choice a has more realistic backgrounds,0.60844964,positive
1097,the more subtle shadowing in b looks more realistic and better,0.9722582,positive
1111,i pick a because of the more realistic look of the background and outside the game,0.9762168,positive
1112, i feel b looks like it__ made of paper and not as realistic as b looks,0.39499003,negative
1127,i like option b because the trees look a little more realistic and i like that they have brighter colors,0.9656766,positive
1144,the realistic shadow lighting is a lot more immersive in video games,0.57833284,positive
1162,c because of the shadowing which makes it more realistic of a feel,0.99012816,positive
1169, a looks the most realistic though,0.8978364,positive
1191, option c looks a lot more detailed and realistic compared to the other choices,0.9768441,positive
1193,i liked choice c and how realistic the image looks and the way the shading is very dramatic,0.95637643,positive
1237,"they're all very similar and i really don't have a strong opinion, but i slightly prefer the more realistic and detailed looking background in c",0.9318294,positive
1256, it makes it seem more realistic and polished,0.99020547,positive
1266,the colors and shadows of option c make it look slightly more realistic and more impressive,0.95985895,positive
1289,i like option a because the trees look a little more realistic and the bricks look a little more solid and tough,0.99490374,positive
1375,"i like the titles that use a realistic theme and future apocalypse setting like choice e and f for this instance, it makes it seem real",0.9982823,positive
1764," i think becoming a giant bio mass like in option h is much more interesting, realistic and fun!",0.6057488,positive
1772,i liked choice a since ethe character looks the most intimidating and strong while also realistic,0.9995898,positive
1773, choice e looks too fake with the saw hands which isn't realistic,0.2616367,negative
1791,the options that look more realistic while still being grounded and interesting looking help immerse me more in the game,0.57238847,positive
1793,option c is the most realistic zombie design,0.72873086,positive
1794, i don't think zombies looking like non human monsters are very realistic for a post apocalyptic zombie strategy game,0.96735615,positive
1839,  it is realistic and it does not add any elements that seem even more unlikely,0.7372182,positive
1841,  all of the other items either seem too cartoonish or unrealistic (i realize how that sounds),0.3874917,negative
1846,i chose option c as my favorite zombie design because it is the most realistic,0.9973808,positive
1876,  it is by far the most realistic of all of the images presented,0.971574,positive
1881,"the image in option c shows a good visual depicting an actual zombie in a later stage of transition, it looks very realistic and well designed",0.99508744,positive
1902,f- this seems to be realistic ad great outlook c- this seems to be having a good design and outlook h- this has intense look and design is flawlessa- it has unique structure and outlook which is appealing b- this has a great details which is very rigid and legit e- seems to be very much realistic and visually appealing d- has a great design and outlook to it g- seems to be simple and clean outlook,0.9989358,positive
1931,"i think option c has the most detail, it looks the most lifelike and realistic looking almost like a real person would",0.9927795,positive
1941,some of these choices are very unrealistic,0.0952275,negative
1943, therefore i picked the most realistic looking pictures,0.46986198,negative
2019,option c is the most impactful as it looks the most realistic by far,0.9616605,positive
2028,"i know ""realistic"" doesn't fit with zombies, but i chose the more realism-based models, ones that seem close enough to human to make you feel fear, not some supernatural beings",0.90603584,positive
2030," i like h b and g the best, they seem the most rooted in some form of ""realistic"" zombie models",0.8929994,positive
2040,"the first choice, h, is both realistic and disturbing",0.98433304,positive
2043, option e is less wild than h but very realistic like it could happen in real life,0.9563317,positive
2050,"  it is by far the most realistic and frightening, as any zombie style game or movie should be",0.92339385,positive
2069, i picked d last because it looks the least realistic,0.50285876,positive
2419,e- seems to be powerful and evil c- this has a scary outlook and which is very much appealing f- has a great design and pattern which is unique b- has a unique outfit and layout h- this seems to be very much realistic and has great outlooka- seems to be more evil and powerful by the outlook d- has a good design and layout which is very appealing g- seems to be very gentle and good outlook,0.9970303,positive
2561, none of the other options are realistic enough for me to relate to in that regard,0.5782664,positive
2840,the first two options i selected seem more realistic to me than the others,0.6285058,positive
2928,i ranked them by characters who look more adult and realistic,0.93643534,positive
2930, i think more realistic looking characters are usually the way to go for any game,0.67585784,positive
2941,i prefer the option g wizard character art style because i like the realistic look of his face and bear and clothing in this image,0.8829773,positive
