,word,translation
0,character,n
1,sinister,adj
2,deadly,adj
3,due,n
4,weaponry,n
5,stance,n
6,facial,adj
7,features,n
8,design,n
9,fits,v
10,description,n
11,bolder,adj
12,futuristic,adj
13,style,n
14,matching,adj
15,olive,n
16,drab,adj
17,uniform,adj
18,outfit,n
19,fitting,adj
20,personality,n
21,using,vbl
22,sniper,n
23,rifle,n
24,picture,n
25,fit,n
26,inside,n
27,attractive,adj
28,sociality,n
29,anixious,adj
30,sensitive,adj
31,person,n
32,looking,adj
33,beautiful,adj
34,dressing,n
35,position,n
36,cute,adj
37,critical,adj
38,movement,n
39,picked,adj
40,order,n
41,university,n
42,professor,n
43,although,conj
44,easily,adv
45,flip,vt
46,bow,n
47,cool,n
48,fine,adj
49,stand,n
50,catch,n
51,attention,n
52,kind,n
53,toss,v
54,number,n
55,show,n
56,idea,n
57,post,adv
58,apocalypse,n
59,better,adj
60,bad,adj
61,rebel,n
62,youre,
63,going,n
64,token,n
65,smart,n
66,scientist,n
67,likely,adj
68,expert,n
69,bows,n
70,crossbows,n
71,thus,adv
72,expect,vt
73,use,vt
74,go,vi
75,socially,adv
76,awkward,adj
77,genius,n
78,suppose,vt
79,shy,adj
80,even,adj
81,though,adv
82,giving,n
83,van,n
84,helsing,adj
85,vibes,n
86,theme,n
87,compared,adv
88,others,n
89,way,n
90,anxious,adj
91,based,v
92,weapons,n
93,held,vbl
94,stanceb,
95,characters,n
96,posture,n
97,little,n
98,accuratec,
99,fairly,adv
100,confident,adj
101,match,n
102,welld,
103,weapon,n
104,however,adv
105,dressed,adj
106,resembles,vt
107,biological,adj
108,background,n
109,white,n
110,coat,n
111,gives,vt
112,educated,adj
113,stood,vbl
114,primarily,adv
115,opinion,n
116,said,vbl
117,certainly,adv
118,viable,adj
119,scarf,n
120,covers,vt
121,face,n
122,definitely,adv
123,monocle,n
124,impression,n
125,sort,n
126,eccentric,adj
127,envision,vt
128,type,n
129,somebody,n
130,young,adj
131,simple,adj
132,standpoint,n
133,wide,adj
134,range,n
135,emotion,n
136,four,num
137,cant,n
138,say,v
139,specific,n
140,designs,num
141,etc,adv
142,made,adj
143,interesting,adj
144,active,adj
145,pose,n
146,seemed,vi
147,dynamic,adj
148,honestly,adv
149,presented,vt
150,images,n
151,none,adv
152,biology,n
153,generic,adj
154,gang,n
155,members,n
156,context,n
157,sure,adj
158,relevant,adj
159,closest,adj
160,pick,n
161,key,n
162,phrase,n
163,social,adj
164,anxiety,n
165,make,vt
166,case,n
167,see,v
168,flashy,adj
169,preferred,adj
170,guys,num
171,take,v
172,care,n
173,business,n
174,intentions,num
175,strength,n
176,outfits,n
177,ab,
178,associate,vt
179,run,n
180,hes,
181,soldier,n
182,whitejacket,n
183,doesnt,
184,inconspicuous,adj
185,enough,adj
186,creative,adj
187,unique,adj
188,captures,vt
189,appealing,adj
190,double,n
191,crossbow,n
192,colors,n
193,hate,vt
194,color,n
195,thought,n
196,matched,adj
197,reserved,adj
198,want,vt
199,outlandish,adj
200,put,vt
201,together,adv
202,bio,n
203,hiding,n
204,bit,n
205,indicates,vt
206,maybe,adv
207,coolest,adj
208,got,vbl
209,wrist,n
210,ive,
211,never,adv
212,seen,vbl
213,honest,adj
214,pictures,n
215,arent,
216,either,adj
217,guy,n
218,descritptions,n
219,traits,n
220,art,n
221,thinner,n
222,passive,adj
223,lookign,
224,especially,adv
225,far,adj
226,since,adv
227,gun,n
228,ds,
229,powerful,adj
230,damage,n
231,science,n
232,used,adj
233,belongs,vi
234,west,n
235,part,n
236,cowboy,n
237,story,n
238,last,adj
239,place,n
240,easy,adj
241,someone,pron
242,goofy,adj
243,fan,n
244,clothing,n
245,expression,n
246,pretty,adj
247,right,n
248,faceexpression,
249,wins,Windows
250,nerdy,adj
251,tell,vt
252,pass,n
253,clothes,n
254,speak,v
255,bilogical,adj
256,highly,adv
257,protective,adj
258,body,n
259,skin,n
260,something,pron
261,modern,n
262,mostd,
263,somewhat,adv
264,ok,adj
265,female,n
266,name,n
267,distinct,adj
268,outlook,n
